Ticker, Price ,Annual Dividend,Annual Yield
ENTERGY CORPORATION (XNYS:ETR),$102.46,$4.04,3.75%
OLD REPUBLIC INTERNATIONAL CORPORATION (XNYS:ORI),$21.04,$0.92,4.33%
"MERCK & CO., INC. (XNYS:MRK)",$84.57,$2.76,3.25%
NEW JERSEY RESOURCES CORPORATION (XNYS:NJR),$41.33,not found,not found
"MSC INDUSTRIAL DIRECT CO., INC. (XNYS:MSM)",$72.96,not found,not found
Fortis Inc. (XTSE:FTS),$57.96,not found,not found
BROOKFIELD INFRASTRUCTURE PARTNERS L.P. (XNYS:BIP),$38.00,$1.44,3.82%
AMGEN INC. (XNAS:AMGN),$234.72,$7.76,3.36%
"Evergy, Inc. (XNYS:EVRG)",$60.14,$2.29,3.25%
SEMPRA ENERGY (XNYS:SRE),$139.49,$4.58,3.16%
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDS)",$15.38,not found,not found
PORTLAND GENERAL ELECTRIC COMPANY (XNYS:POR),$45.63,$1.81,3.64%
"SOUTHWEST GAS HOLDINGS, INC. (XNYS:SWX)",$82.49,$2.48,2.63%
NEXTERA ENERGY PARTNERS UNT (XNYS:NEP),$69.44,$2.93,3.87%
KIMBERLY-CLARK CORPORATION (XNYS:KMB),$121.57,$4.64,3.76%
FEDERAL REALTY INVESTMENT TRUST (XNYS:FRT),$94.62,$4.28,4.50%
LOCKHEED MARTIN CORPORATION (XNYS:LMT),$403.69,$11.20,2.77%
AXIS CAPITAL HOLDINGS LIMITED (XNYS:AXS),$54.62,not found,not found
SUN LIFE FINANCIAL INC (XNYS:SLF),$44.68,not found,not found
"GREIF, INC. (XNYS:GEF)",$57.94,$1.84,3.09%
"SOUTHSIDE BANCSHARES, INC. (XNAS:SBSI)",$36.77,not found,not found
M&T BANK CORPORATION (XNYS:MTB),$162.34,$4.80,2.96%
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),$59.16,$2.16,3.57%
SPARTANNASH COMPANY (XNAS:SPTN),$29.37,not found,not found
"FLOWERS FOODS, INC. (XNYS:FLO)",$24.67,$0.88,3.33%
