Ticker, Price , Annual Dividend ,Dividend Yield
THE BANK OF NOVA SCOTIA (XNYS:BNS),$60.86,,
CANADIAN IMPERIAL BANK OF COMMERCE (XNYS:CM),$49.17,,
LAZARD LTD (XNYS:LAZ),$31.06,,
"PEOPLE'S UNITED FINANCIAL, INC. (XNAS:PBCT)",$21.29,,
EDISON INTERNATIONAL (XNYS:EIX),$58.92,,
BANK OF MONTREAL (XNYS:BMO),$96.20,,
"GILEAD SCIENCES, INC. (XNAS:GILD)",$58.53,,
OMNICOM GROUP INC. (XNYS:OMC),$63.10,,
THE FIRST OF LONG ISLAND CORPORATION (XNAS:FLIC),$17.85,,
ORGANON & CO. (XNYS:OGN),$33.17,,
HANESBRANDS INC. (XNYS:HBI),$10.07,,
"CONSOLIDATED EDISON, INC. (XNYS:ED)",$86.89,,
THE TORONTO-DOMINION BANK (XNYS:TD),$66.35,,
Novartis Inc. (XNYS:NVS),$81.06,,
ROYAL BANK OF CANADA (XNYS:RY),$95.59,,
KELLOGG COMPANY (XNYS:K),$67.54,,
ENTERGY CORPORATION (XNYS:ETR),$102.46,,
OLD REPUBLIC INTERNATIONAL CORPORATION (XNYS:ORI),$21.04,,
"MERCK & CO., INC. (XNYS:MRK)",$84.57,,
NEW JERSEY RESOURCES CORPORATION (XNYS:NJR),$41.33,,
"MSC INDUSTRIAL DIRECT CO., INC. (XNYS:MSM)",$72.96,,
Fortis Inc. (XTSE:FTS),$57.96,,
BROOKFIELD INFRASTRUCTURE PARTNERS L.P. (XNYS:BIP),$38.00,,
AMGEN INC. (XNAS:AMGN),$234.72,,
"Evergy, Inc. (XNYS:EVRG)",$60.14,,
SEMPRA ENERGY (XNYS:SRE),$139.49,,
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDS)",$15.38,,
PORTLAND GENERAL ELECTRIC COMPANY (XNYS:POR),$45.63,,
"SOUTHWEST GAS HOLDINGS, INC. (XNYS:SWX)",$82.49,,
NEXTERA ENERGY PARTNERS UNT (XNYS:NEP),$69.44,,
KIMBERLY-CLARK CORPORATION (XNYS:KMB),$121.57,,
FEDERAL REALTY INVESTMENT TRUST (XNYS:FRT),$94.62,,
LOCKHEED MARTIN CORPORATION (XNYS:LMT),$403.69,,
AXIS CAPITAL HOLDINGS LIMITED (XNYS:AXS),$54.62,,
SUN LIFE FINANCIAL INC (XNYS:SLF),$44.68,,
"GREIF, INC. (XNYS:GEF)",$57.94,,
"SOUTHSIDE BANCSHARES, INC. (XNAS:SBSI)",$36.77,,
M&T BANK CORPORATION (XNYS:MTB),$162.34,,
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),$59.16,,
SPARTANNASH COMPANY (XNAS:SPTN),$29.37,,
"FLOWERS FOODS, INC. (XNYS:FLO)",$24.67,,
"CITY OFFICE REIT, INC. (XNYS:CIO)",$11.66,,
DTE ENERGY COMPANY (XNYS:DTE),$115.72,,
THE J. M. SMUCKER COMPANY (XNYS:SJM),$122.22,,
WESTAMERICA BANCORPORATION (XNAS:WABC),$56.63,,
"THE INTERPUBLIC GROUP OF COMPANIES, INC. (XNYS:IPG)",$27.05,,
"PROSPERITY BANCSHARES, INC. (XNYS:PB)",$67.96,,
Xcel Energy Inc. (XNAS:XEL),$63.91,,
INGREDION INCORPORATED (XNYS:INGR),$84.62,,
THE CLOROX COMPANY (XNYS:CLX),$122.72,,
CUMMINS INC. (XNYS:CMI),$191.55,,
INTEL CORPORATION (XNAS:INTC),$36.97,,
SNAP-ON INCORPORATED (XNYS:SNA),$195.73,,
ALLIANT ENERGY CORPORATION (XNAS:LNT),$54.75,,
"HUNTINGTON INGALLS INDUSTRIES, INC. (XNYS:HII)",$200.64,,
"PEPSICO, INC. (XNAS:PEP)",$157.06,,
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),$150.20,,
"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",$256.08,,
PERRIGO COMPANY PUBLIC LIMITED COMPANY (XNYS:PRGO),$38.84,,
RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX),$88.88,,
"CULLEN/FROST BANKERS, INC. (XNYS:CFR)",$117.41,,
"CISCO SYSTEMS, INC. (XNAS:CSCO)",$43.39,,
IMPERIAL OIL LIMITED (XNYS:IMO),$48.50,,
EASTMAN CHEMICAL COMPANY (XNYS:EMN),$87.67,,
ERIE INDEMNITY COMPANY (XNAS:ERIE),$172.92,,
"COMMUNITY BANK SYSTEM, INC. (XNYS:CBU)",$61.78,,
CYRUSONE INC. (XNAS:CONE),$90.30,,
Otter Tail Corporation (XNAS:OTTR),$61.78,,
INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),$108.31,,
MCGRATH RENTCORP (XNAS:MGRC),$74.43,,
CVS HEALTH CORPORATION (XNYS:CVS),$88.68,,
"Mondelez International, Inc. (XNAS:MDLZ)",$58.80,,
"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)",$99.00,,
"Essential Utilities, Inc. (XNYS:WTRG)",$41.58,,
